time [ps]	intensity [W]	phase [rad]
0.4006299	218.19418	6.8092233
0.41665509	216.147	7.0089034
0.43268029	218.5785	7.2032075
0.44870549	222.87042	7.3849421
0.46473068	225.57174	7.5457872
0.48075588	223.15809	7.6773632
0.49678107	213.6275	7.7713247
0.51280627	198.13317	7.819091
0.52883146	181.48805	7.8133195
0.54485666	170.88321	7.7539588
0.56088186	173.23846	7.6573544
0.57690705	192.44189	7.5550064
0.59293225	227.761	7.4743927
0.60895744	274.01682	7.424286
0.62498264	323.25369	7.3989806
0.64100784	367.08641	7.3880919
0.65703303	398.80655	7.3820006
0.67305823	414.59609	7.3734027
0.68908342	413.68478	7.3571718
0.70510862	397.79606	7.3295996
0.72113382	370.4775	7.2874247
0.73715901	336.71309	7.2270772
0.75318421	302.69816	7.1449633
0.7692094	275.25831	7.0399351
0.7852346	260.50006	6.9179993
0.8012598	261.86349	6.7951632
0.81728499	278.36858	6.6919675
0.83331019	304.03724	6.6225372
0.84933538	329.08426	6.5895224
0.86536058	342.72305	6.587194
0.88138577	336.68845	6.6062005
0.89741097	308.15507	6.6361099
0.91343617	260.82814	6.6657415
0.92946136	203.65281	6.68215
0.94548656	147.61476	6.669053
0.96151175	101.99627	6.6067306
0.97753695	71.678799	6.480194
0.99356215	56.474253	6.3036915
1.0095873	52.400798	6.133191
1.0256125	53.958883	6.0194302
1.0416377	56.261554	5.9690943
1.0576629	56.27728	5.9636654
1.0736881	53.047312	5.9822976
1.0897133	47.16756	6.0088742
1.1057385	39.966126	6.0325736
1.1217637	32.752422	6.0475625
1.1377889	26.371468	6.0525905
1.1538141	21.121544	6.049474
1.1698393	16.931895	6.0397393
1.1858645	13.617623	6.0206507
1.2018897	11.062926	5.9836351
1.2179149	9.2783675	5.9184131
1.2339401	8.3467363	5.8245518
1.2499653	8.2923314	5.7226457
1.2659905	8.9280527	5.6454974
1.2820157	9.7780977	5.6141154
1.2980409	10.181396	5.6304006
1.3140661	9.5812295	5.686921
1.3300913	7.8420234	5.7754774
1.3461165	5.3600948	5.8895913
1.3621417	2.8595274	6.0225108
1.3781668	1.0056977	6.1555434
1.394192	0.1109877	6.1230453
1.4102172	0.11452385	3.9401869
1.4262424	0.77966107	3.9820615
1.4422676	1.8941464	4.2083086
1.4582928	3.3116934	4.4570935
1.474318	4.8596939	4.6994386
1.4903432	6.2632492	4.9269441
1.5063684	7.1952599	5.141109
1.5223936	7.423621	5.3489782
1.5384188	6.9346849	5.5609441
1.554444	5.9392717	5.7898647
1.5704692	4.7648096	6.0500687
1.5864944	3.7103596	6.3539539
1.6025196	2.9446878	6.7042452
1.6185448	2.483691	7.086815
1.63457	2.2366287	7.4779063
1.6505952	2.0841195	7.8635059
1.6666204	1.9455326	8.2466123
1.6826456	1.8051477	8.6374572
1.6986708	1.691285	9.0399746
1.714696	1.6297085	9.4440037
1.7307212	1.6057918	9.8299125
1.7467464	1.5608489	10.18233
1.7627715	1.4242306	10.498312
1.7787967	1.1603173	10.786264
1.7948219	0.80040389	11.065614
1.8108471	0.43715466	11.38058
1.8268723	0.18080262	11.863075
1.8428975	0.10174117	12.768294
1.8589227	0.19672663	13.525356
1.8749479	0.40173034	13.820503
1.8909731	0.63954177	13.915197
1.9069983	0.86274199	13.91304
1.9230235	1.0592964	13.859097
1.9390487	1.224555	13.784242
1.9550739	1.3347462	13.709818
1.9710991	1.3519113	13.645771
1.9871243	1.2550592	13.592528
2.0031495	1.0647224	13.545227
2.0191747	0.83595588	13.497574
2.0351999	0.62690777	13.445432
2.0512251	0.47100225	13.390785
2.0672503	0.37141113	13.342812
2.0832755	0.31262788	13.309858
2.0993007	0.27350202	13.286464
2.1153259	0.23546479	13.248917
2.1313511	0.19017451	13.157887
2.1473763	0.14659947	12.961609
2.1634014	0.12739917	12.639113
2.1794266	0.14877716	12.309158
2.1954518	0.19824754	12.121781
2.211477	0.23642533	12.094107
2.2275022	0.23053661	12.21313
2.2435274	0.19170914	12.506918
2.2595526	0.17469891	12.998906
2.2755778	0.22995933	13.529398
2.291603	0.34820176	13.917584
2.3076282	0.45411932	14.191478
2.3236534	0.46476676	14.426828
2.3396786	0.36471411	14.693941
2.3557038	0.22790843	15.094693
2.371729	0.16152534	15.744018
2.3877542	0.21895832	16.400931
2.4037794	0.35800321	16.784571
2.4198046	0.47820006	16.990911
2.4358298	0.49997085	17.110537
2.451855	0.41618988	17.181952
2.4678802	0.28032377	17.22304
2.4839054	0.15513977	17.248952
2.4999306	0.072666406	17.289484
2.5159558	0.031387998	17.412666
2.531981	0.016052666	17.699304
2.5480061	0.012741269	18.049787
2.5640313	0.011198176	18.286743
2.5800565	0.0056394747	18.46363
2.5960817	0.00028248792	19.593896
2.6121069	0.0095758392	21.292574
2.6281321	0.044102393	21.370568
2.6441573	0.094149138	21.345434
2.6601825	0.13464841	21.240873
2.6762077	0.15497403	21.026111
2.6922329	0.18353441	20.694643
2.7082581	0.27273562	20.363176
2.7242833	0.44846168	20.161702
2.7403085	0.67136271	20.094508
2.7563337	0.85399091	20.126419
2.7723589	0.9248876	20.237038
2.7883841	0.88173451	20.419997
2.8044093	0.78416863	20.669516
2.8204345	0.69587125	20.962312
2.8364597	0.63358577	21.252894
2.8524849	0.56867796	21.49914
2.8685101	0.47071002	21.683994
2.8845353	0.3433783	21.808905
2.9005605	0.21928676	21.884911
2.9165857	0.12786892	21.944339
2.9326109	0.07599989	22.076237
2.948636	0.059723914	22.409656
2.9646612	0.087026319	22.861575
2.9806864	0.180047	23.196788
2.9967116	0.35059912	23.419729
3.0127368	0.57427224	23.596352
3.028762	0.79163647	23.761453
3.0447872	0.93903728	23.931724
3.0608124	0.98462911	24.117054
3.0768376	0.94273034	24.324388
3.0928628	0.85959987	24.55679
3.108888	0.78507109	24.808797
3.1249132	0.74985292	25.062569
3.1409384	0.75806458	25.293881
3.1569636	0.79135729	25.486603
3.1729888	0.8162643	25.640004
3.189014	0.79192704	25.764344
3.2050392	0.68316845	25.874437
3.2210644	0.48329534	25.98924
3.2370896	0.23849227	26.149106
3.2531148	0.051539592	26.58242
3.26914	0.045123583	28.431292
3.2851652	0.29193828	28.939487
3.3011904	0.75282321	29.096569
3.3172156	1.2726615	29.19144
3.3332407	1.6498924	29.265351
3.3492659	1.7410017	29.332189
3.3652911	1.5320873	29.402079
3.3813163	1.1329206	29.489267
3.3973415	0.70553371	29.620814
