wavelength [nm]	Intensity [pJ/nm]	Phase [rad]
1605.5922	2.6910544E-31	8.2144677
1606.6409	1.9266338E-30	10.055924
1607.691	5.6784827E-31	7.8966269
1608.7425	2.9102237E-30	9.4545987
1609.7953	1.655179E-30	9.9929502
1610.8495	6.5310701E-31	9.7162348
1611.9051	2.2888655E-31	9.6697566
1612.9621	2.6055892E-30	9.1333212
1614.0205	3.1631922E-30	7.8974325
1615.0803	2.8908218E-30	10.113702
1616.1414	8.1551067E-31	9.076007
1617.204	2.3125323E-30	8.8930539
1618.2679	3.9926316E-31	8.7690823
1619.3333	2.1493311E-31	6.2000441
1620.4	3.2715653E-31	9.081754
1621.4682	1.550838E-30	9.5797747
1622.5378	2.9473595E-30	8.8709236
1623.6087	6.7274105E-31	9.7835486
1624.6811	2.928912E-30	9.081754
1625.7549	4.8592645E-30	9.8650835
1626.8302	9.6344561E-31	8.5287226
1627.9068	1.163113E-30	9.3180423
1628.9849	1.5526714E-30	9.6101259
1630.0644	1.7174713E-30	10.03909
1631.1454	4.2658474E-31	9.0660073
1632.2278	1.1803065E-30	9.6014868
1633.3116	5.1870415E-31	8.8661786
1634.3968	8.9052108E-31	9.6697566
1635.4835	2.3250668E-32	10.995574
1636.5717	2.1260593E-30	8.8440216
1637.6613	2.3710622E-30	9.5736679
1638.7523	2.7094866E-30	10.012781
1639.8448	1.3717296E-30	9.195546
1640.9388	2.2591101E-30	9.7865072
1642.0342	7.8999432E-31	9.076007
1643.1311	2.4193678E-30	10.47189
1644.2294	4.0616399E-31	7.4569022
1645.3293	6.8417165E-31	7.5032537
1646.4305	5.0652764E-31	8.9254312
1647.5333	1.1355665E-30	10.888839
1648.6376	2.2452106E-31	11.494921
1649.7433	1.4638579E-32	10.320833
1650.8505	7.2025071E-31	9.9880942
1651.9592	1.3264029E-30	10.035504
1653.0694	1.6475096E-30	9.3806889
1654.1811	2.0960389E-30	8.8385804
1655.2942	6.6753604E-31	9.9038883
1656.4089	9.1809914E-31	10.09185
1657.5251	1.0288956E-30	11.182061
1658.6428	8.1663864E-31	9.7202188
1659.762	2.6755421E-30	12.190129
1660.8827	1.5253089E-31	10.380911
1662.0049	2.926891E-31	10.012781
1663.1286	9.7946497E-31	8.2837439
1664.2539	5.9081396E-31	5.463318
1665.3807	1.6811391E-30	5.4006578
1666.509	9.5170294E-32	4.9573676
1667.6388	8.050564E-31	7.8539816
1668.7702	7.146357E-31	5.4977871
1669.9031	1.4273328E-30	3.1415927
1671.0375	8.9087214E-32	1.5707963
1672.1735	2.0017398E-31	-1.5707963
1673.311	4.4422647E-31	-4.2487414
1674.4501	3.4657991E-32	-5.6396842
1675.5908	1.7562396E-30	-5.8792152
1676.7329	1.0801151E-30	-7.6741281
1677.8767	2.6563958E-30	-7.4311277
1679.022	3.9411986E-31	-5.4454842
1680.1689	3.1723742E-30	-7.0685835
1681.3173	2.537413E-30	-7.5874694
1682.4673	1.6766294E-30	-7.1496159
1683.6189	8.8861974E-30	-6.5681094
1684.7721	1.7528125E-30	-6.6049359
1685.9268	2.4980915E-30	-7.1898802
1687.0831	1.6930665E-30	-6.9211734
1688.2411	1.2792624E-30	-4.712389
1689.4006	1.0470002E-30	-7.4336753
1690.5617	3.4069853E-30	-7.0023283
1691.7244	4.3714376E-30	-6.5565001
1692.8887	7.6864184E-31	-7.1169413
1694.0546	1.6964752E-31	-5.2422918
1695.2221	8.3432899E-30	-6.706796
1696.3912	5.9334995E-30	-6.3842378
1697.5619	1.1978446E-30	-3.8988386
1698.7343	2.0199294E-31	-6.6758844
1699.9082	1.1525487E-30	-6.2490162
1701.0838	1.4890559E-30	-7.5072738
1702.2611	6.921579E-31	-6.1950261
1703.4399	2.4807653E-30	-6.9811616
1704.6204	3.7414117E-30	-6.6704041
1705.8025	4.8089782E-32	-7.8539816
1706.9863	1.6054824E-31	-9.7646149
1708.1717	1.8926607E-30	-8.321002
1709.3587	2.6768765E-30	-7.3501519
1710.5474	5.205868E-31	-7.5641851
1711.7378	2.6562833E-31	-7.4427215
1712.9298	2.6525876E-31	-10.584314
1714.1235	1.0832652E-30	-12.414007
1715.3188	9.6141071E-31	-14.242205
1716.5159	1.4731754E-30	-11.244804
1717.7145	6.7314757E-31	-14.096061
1718.9149	5.4142978E-31	-11.764057
1720.1169	3.2717354E-30	-13.624344
1721.3207	3.7794196E-31	-10.715845
1722.5261	8.1994033E-31	-13.667912
1723.7332	1.7257731E-30	-11.846678
1724.942	2.5539858E-30	-13.67394
1726.1524	4.7180618E-31	-11.478949
1727.3646	4.4458626E-31	-14.326964
1728.5785	1.0261782E-30	-11.97936
1729.7941	1.0474913E-30	-12.951275
1731.0114	2.2173257E-30	-11.695352
1732.2304	9.0282061E-31	-12.361765
1733.4512	1.7104926E-30	-11.547172
1734.6736	1.7075856E-30	-13.142706
1735.8978	1.9554806E-31	-11.666709
1737.1237	1.7376765E-32	-13.445331
1738.3514	6.3652428E-31	-16.222606
1739.5808	1.0227888E-31	-13.561503
1740.8119	2.6572656E-30	-11.569911
1742.0448	1.8702894E-30	-12.266365
1743.2794	1.8693591E-30	-10.793929
1744.5158	8.4425214E-31	-12.501883
1745.7539	2.3735187E-30	-11.901142
1746.9938	1.4384029E-31	-11.780972
1748.2354	2.3013764E-30	-11.644226
1749.4788	3.4034958E-31	-13.111257
1750.724	7.3120776E-31	-12.239165
1751.971	8.3158243E-31	-11.885705
1753.2197	6.0799153E-31	-10.249785
1754.4702	3.2946505E-31	-8.1575452
1755.7225	4.7597167E-30	-10.522373
1756.9766	4.2678927E-30	-10.13876
1758.2325	1.1114949E-30	-9.7678019
